ID;M(R);M(G);M(B);DP(R);DP(G);DP(B)
277;41;46;44;1.7216917438271604;1.4743923611111112;2.0632716049382718
278;31;30;38;0.7536651234567902;0.7702064043209876;0.806664737654321
279;38;38;51;0.7628279320987654;0.81640625;0.8458236882716049
280;47;48;61;1.1376350308641976;0.9622878086419753;0.8509355709876543
281;41;54;19;1.6656539351851851;1.5850694444444444;1.3034336419753085
282;42;50;16;1.6141493055555556;1.5782696759259258;1.2357735339506173
283;32;47;16;1.3934702932098766;1.308690200617284;1.1632908950617284
284;26;31;12;1.2913290895061729;1.1350308641975309;0.9605516975308642
285;50;48;24;1.93359375;1.638744212962963;1.5152391975308641
286;105;79;57;3.1964699074074074;2.558545524691358;2.021846064814815
287;75;53;45;2.2768614969135803;1.7407889660493827;1.4585262345679013
288;92;63;53;2.6104841820987654;2.054783950617284;1.6432291666666667
289;67;46;45;2.0307195216049383;1.5169270833333333;1.2966820987654322
290;85;54;46;2.572434413580247;1.8560474537037037;1.3916377314814814
291;79;55;45;2.2662037037037037;1.8186246141975309;1.408227237654321
292;112;102;55;2.5357831790123457;2.3544560185185186;1.9209587191358024
293;193;181;89;2.642216435185185;2.4995177469135803;2.7396315586419755
294;169;158;63;2.6555266203703702;2.5208815586419755;2.4870273919753085
295;151;163;48;2.7408854166666665;2.7237654320987654;2.177228009259259
296;67;104;24;1.8309220679012346;2.199025848765432;1.5354456018518519
297;28;48;11;1.2405478395061729;1.2996238425925926;1.0146122685185186
298;22;34;21;1.242235725308642;1.1010802469135803;1.4577546296296295
299;47;48;60;1.2045235339506173;0.9627218364197531;1.3015528549382716
300;42;44;60;0.6918402777777778;0.7150848765432098;0.8015046296296297
301;41;58;18;1.7220293209876543;1.6619405864197532;1.2606577932098766
302;42;45;15;1.6958429783950617;1.472704475308642;1.1623263888888888
303;37;43;14;1.5973668981481481;1.4818190586419753;1.1330054012345678
304;39;41;13;1.6254822530864197;1.4695216049382716;1.0894579475308641
305;43;47;14;1.705488040123457;1.7430073302469136;1.1569251543209877
306;80;91;21;2.611207561728395;2.642119984567901;1.5229070216049383
307;111;115;27;2.960744598765432;2.8596643518518516;1.693287037037037
308;97;80;49;3.006028163580247;2.669753086419753;2.1336805555555554
309;119;90;71;3.5574845679012346;2.841965663580247;2.480372299382716
310;146;108;84;3.620949074074074;3.0735435956790123;2.5774498456790123
311;146;107;78;3.6864872685185186;3.169945987654321;2.5597993827160495
312;158;130;86;3.264081790123457;2.941550925925926;2.627314814814815
313;200;189;93;2.759596836419753;2.4885706018518516;2.838300540123457
314;174;164;67;2.740547839506173;2.5575327932098766;2.523244598765432
315;158;161;73;2.873456790123457;2.666039737654321;2.6168016975308643
316;66;81;23;2.0108506944444446;2.0751832561728394;1.472608024691358
317;41;63;16;1.4019097222222223;1.4108796296296295;1.1930941358024691
318;18;49;8;1.0366512345679013;1.005883487654321;0.7973572530864198
319;23;41;25;1.4701967592592593;1.0139371141975309;1.660252700617284
320;50;51;67;1.2276234567901234;1.1878858024691359;1.3137056327160495
321;66;72;28;2.2531828703703702;2.01147762345679;1.6840277777777777
322;44;52;15;1.7567997685185186;1.6082658179012346;1.1940104166666667
323;36;43;13;1.5758584104938271;1.4945987654320987;1.0785590277777777
324;55;60;17;2.06225887345679;2.0319251543209877;1.2571855709876543
325;72;76;21;2.7194251543209877;2.662567515432099;1.5979456018518519
326;72;75;20;2.652391975308642;2.8190104166666665;1.4464216820987654
327;83;100;20;2.5518904320987654;2.634645061728395;1.5383391203703705
328;112;119;25;3.1361882716049383;3.017602237654321;1.7443576388888888
329;76;82;18;1.9422743055555556;1.9017168209876543;1.4287712191358024
330;88;87;39;2.200665509259259;1.9342206790123457;2.2393904320987654
331;95;91;42;2.5690104166666665;2.3955439814814814;2.066261574074074
332;113;84;60;2.529803240740741;2.037519290123457;1.8444733796296295
333;127;89;71;3.1651234567901234;2.3121141975308643;1.8325135030864197
334;163;148;74;3.0120563271604937;2.947193287037037;2.5188078703703702
335;175;174;82;2.7194733796296298;2.5934606481481484;2.7862654320987654
336;83;92;26;2.1907793209876543;2.2310956790123457;1.6079282407407407
337;53;73;16;1.6245659722222223;1.8521412037037037;1.2542438271604939
338;21;58;12;1.279417438271605;1.2373649691358024;1.056520061728395
339;12;48;11;1.044945987654321;1.1567322530864197;1.0149498456790123
340;30;40;32;1.6294849537037037;1.2408371913580247;1.7952835648148149
341;62;68;20;1.9266010802469136;1.7405960648148149;1.4250096450617284
342;49;53;17;1.6767939814814814;1.5642843364197532;1.2611400462962963
343;55;60;23;1.8331404320987654;1.7482156635802468;1.3668981481481481
344;69;61;26;2.355324074074074;2.005353009259259;1.558497299382716
345;71;67;28;2.5424864969135803;2.4447820216049383;1.773389274691358
346;51;62;19;2.211082175925926;2.376543209876543;1.3640528549382716
347;34;38;11;1.5359278549382716;1.4954185956790123;0.966820987654321
348;79;81;20;2.8052662037037037;2.7659625771604937;1.4438657407407407
349;119;127;22;3.5246431327160495;3.661892361111111;1.638647762345679
350;134;141;25;3.334056712962963;3.4480131172839505;1.720293209876543
351;129;121;30;2.9496045524691357;2.929783950617284;1.8615451388888888
352;120;89;45;3.342255015432099;2.7573784722222223;1.892698688271605
353;148;101;76;3.908564814814815;3.001929012345679;2.0950520833333335
354;149;114;73;3.252170138888889;2.9852430555555554;2.339891975308642
355;187;183;86;2.6614583333333335;2.564621913580247;2.630690586419753
356;98;107;37;2.3311149691358026;2.357445987654321;1.8178047839506173
357;52;67;22;1.7156635802469136;1.8220968364197532;1.3855131172839505
358;23;60;15;1.2527488425925926;1.3455343364197532;1.2443576388888888
359;16;52;13;1.1193576388888888;1.1436149691358024;1.2170621141975309
360;11;42;7;0.8747106481481481;0.9314236111111112;0.8756269290123457
361;63;62;23;2.213107638888889;2.193769290123457;1.4328703703703705
362;64;65;24;1.8386863425925926;1.877073688271605;1.5447530864197532
363;58;58;25;1.787133487654321;1.7247781635802468;1.5471161265432098
364;71;67;29;2.3269675925925926;2.1573591820987654;1.7409818672839505
365;55;47;18;1.8605324074074074;1.5501543209876543;1.2725694444444444
366;46;50;18;1.7882908950617284;1.8654031635802468;1.3837287808641976
367;33;33;13;1.4927179783950617;1.331983024691358;1.0790412808641976
368;74;70;24;2.710744598765432;2.579523533950617;1.6499324845679013
369;60;63;16;2.0542534722222223;2.037229938271605;1.3081597222222223
370;85;89;20;2.7375096450617282;2.68383487654321;1.5306230709876543
371;88;92;18;3.1569251543209877;3.078028549382716;1.3936149691358024
372;137;142;45;3.138744212962963;3.1106770833333335;2.138454861111111
373;186;187;91;3.072530864197531;2.7926311728395063;3.0494791666666665
374;170;162;57;2.5463445216049383;2.4836516203703702;2.4263599537037037
375;193;188;93;2.7549672067901234;2.664158950617284;2.812451774691358
376;91;102;37;2.333815586419753;2.5537712191358026;1.7978395061728396
377;68;75;35;2.0652006172839505;1.8601948302469136;1.7485050154320987
378;35;61;22;1.5191454475308641;1.4411651234567902;1.3580246913580247
379;27;64;11;1.259645061728395;1.2828896604938271;0.9908371913580247
380;17;55;9;1.1058063271604939;1.1036844135802468;0.9384645061728395
381;64;58;30;2.0810667438271606;1.8681520061728396;1.6116898148148149
382;74;71;28;2.1608314043209877;2.0416666666666665;1.5223765432098766
383;87;73;27;2.2918595679012346;2.0674672067901234;1.6175733024691359
384;104;86;33;3.187403549382716;2.6724537037037037;1.5793306327160495
385;73;67;20;2.0300443672839505;1.8168402777777777;1.3903838734567902
386;73;72;20;2.1948302469135803;2.0322145061728394;1.4206693672839505
387;64;56;18;1.9419849537037037;1.8279803240740742;1.2376060956790123
388;49;37;21;1.695216049382716;1.5425347222222223;1.2663966049382716
389;60;47;28;2.0345293209876543;1.5794753086419753;1.4565007716049383
390;52;40;32;1.5055941358024691;1.4654706790123457;1.3328028549382716
391;36;27;17;1.3424961419753085;1.3517554012345678;0.966772762345679
392;63;44;30;1.9951774691358024;1.6315586419753085;1.3122106481481481
393;75;59;44;2.146894290123457;1.9425636574074074;1.5919656635802468
394;103;70;42;3.018084490740741;2.2230902777777777;1.500096450617284
395;98;61;41;2.785204475308642;2.032648533950617;1.2890625
396;89;74;39;2.1607349537037037;1.9735725308641976;1.6278452932098766
397;64;76;32;1.8503086419753085;1.8714795524691359;1.6413966049382716
398;46;77;22;1.435570987654321;1.3852237654320987;1.455150462962963
399;43;81;13;1.3677179783950617;1.2954764660493827;1.1107253086419753
400;22;63;5;1.1368634259259258;1.1373456790123457;0.6783854166666666
